Ablennes hians
Notolychnus valdiviae
Notoscopelus elongatus
Novaculichthys taeniourus
Occidentarius platypogon
Odontoscion eurymesops
Odontoscion xanthops
Ogcocephalus darwini
Ogcocephalus radiatus
Ogilbia deroyi
Ogilbia galapagosensis
Ogilbia ventralis
Oligoplites altus
Oligoplites refulgens
Oligoplites saurus
Ophichthus arneutes
Ophichthus frontalis
Ophichthus remiger
Ophichthus rugifer
Ophichthus tetratrema
Ophichthus triserialis
Ophichthus zophochir
Ophidion exul
Ophioblennius atlanticus
Ophioblennius steindachneri
Ophioscion scierus
Opisthonema berlangai
Opisthonema bulleri
Opisthonema libertate
Opisthonema oglinum
Opisthopterus dovii
Opisthopterus equatorialis
Opisthopterus macrops
Opistognathus galapagensis
Opistognathus scops
Oplegnathus fasciatus
Oplegnathus insignis
Orthopristis cantharinus
Orthopristis chalceus
Orthopristis forbesi
Orthopristis lethopristis
Ostracion meleagris
Otophidium indefatigabile
Oxycirrhites typus
Pachycara rimae
Paraclinus fehlmanni
Paraclinus mexicanus
Paraconger californiensis
Paraconger similis
Parahypsos piersoni
Paralabrax albomaculatus
Paralabrax callaensis
Paralabrax humeralis
Paraletharchus opercularis
Paralichthys woolmani
Paraliparis darwini
Paraliparis galapagosensis
Paraliparis rosaceus
Paralonchurus dumerilii
Paralonchurus petersii
Paranthias colonus
Paranthias furcifer
Pareques perissa
Pareques viola
Parexocoetus brachypterus
Peprilus medius
Perissias taeniopterus
Peristedion barbiger
Peristedion crustosum
Petrotyx hopkinsi
Phaenomonas pinnata
Photostomias guernei
Phtheirichthys lineatus
Physiculus nematopus
Physiculus talarae
Plagiotremus azaleus
Platygillellus rubellulus
Pliosteostoma lutipinnis
Plotosus lineatus
Polydactylus approximans
Polydactylus opercularis
Pomacanthus zonipectus
Pomadasys branickii
Pomadasys macracanthus
Pomadasys panamensis
Pontinus clemensi
Pontinus furcirhinus
Pontinus sierra
Pontinus strigatus
Pontinus vaughani
Porichthys margaritatus
Poromitra capito
Poromitra crassiceps
Poromitra megalops
Priacanthus meeki
Prionotus albirostris
Prionotus miles
Prionotus ruscarius
Prionotus stephanophrys
Prionurus laticlavius
Prionurus punctatus
Pristigenys serrula
Pristipomoides zonatus
Prognathodes carlhubbsi
Prognichthys sealei
Prognichthys tringa
Pronotogrammus multifasciatus
Protemblemaria bicirrus
Psenes arafurensis
Psenes cyanophrys
Psenes pellucidus
Psenes sio
Pseudobalistes naufragium
Pseudogramma thaumasia
Pseudupeneus grandisquamis
Quassiremus evionthas
Remora albescens
Remora australis
Remora brachyptera
Remora osteochir
Remora remora
Rhynchoconger nitens
Rosenblattichthys volucris
Rouleina attrita
Rypticus bicolor
Rypticus nigripinnis
Sarda orientalis
Sardinops sagax
Sargocentron suborbitale
Scartichthys gigas
Scarus compressus
Scarus ghobban
Scarus perrico
Scarus rubroviolaceus
Scomber colias
Scomber japonicus
Scomberomorus brasiliensis
Scomberomorus concolor
Scomberomorus maculatus
Scomberomorus sierra
Scopeloberyx robustus
Scorpaena afuerae
Scorpaena histrio
Scorpaena mystes
Scorpaena plumieri
Scorpaena russula
Scorpaenodes xyris
Scorpaenopsis diabolus
Scytalichthys miurus
Sectator ocyurus
Selar crumenophthalmus
Selene brevoortii
Selene peruviana
Selene vomer
Semicossyphus darwini
Seriola lalandi
Seriola peruana
Seriola rivoliana
Seriolella violacea
Serranus aequidens
Serranus huascarii
Serranus psittacinus
Serranus stilbostigma
Serrivomer sector
Sicyases sanguineus
Sphoeroides angusticeps
Sphoeroides annulatus
Sphoeroides lobatus
Sphoeroides rosenblatti
Sphoeroides sechurae
Sphoeroides trichocephalus
Sphyraena barracuda
Sphyraena ensis
Sphyraena idiastes
Sphyraena qenie
Starksia galapagensis
Starksia leucovitta
Stathmonotus culebrai
Stegastes acapulcoensis
Stegastes arcifrons
Stegastes beebei
Stegastes flavilatus
Stegastes leucorus
Stegastes rectifraenum
Stellifer chrysoleuca
Stellifer ericymba
Stellifer mancorensis
Stellifer oscitans
Stellifer zestocarus
Sternoptyx diaphana
Sternoptyx obscura
Stethojulis bandanensis
Stomias atriventer
Stomias colubrinus
Strongylura exilis
Strongylura fluviatilis
Strongylura scapularis
Stylephorus chordatus
Sufflamen fraenatum
Sufflamen verres
Syacium latifrons
Syacium longidorsale
Syacium micrurum
Syacium ovale
Symbolophorus evermanni
Symphurus atramentatus
Symphurus callopterus
Symphurus chabanaudi
Symphurus diabolicus
Symphurus elongatus
Symphurus melanurus
Symphurus melasmatotheca
Symphurus oligomerus
Symphurus undecimplerus
Symphurus varius
Synchiropus atrilabiatus
Syngnathus macrobrachium
