Ablennes hians
Trinectes fluviatilis
Trinectes fonsecensis
Umbrina xanti
Venefica tentaculata
Vinciguerria lucetia
Xenichthys rupestris
Xenichthys xanti
Xenistius peruanus
Xenomugil thoburni
Xenomystax atrarius
Zalieutes elater
Zanclus cornutus
