Onchocalanus cristatus
Onchocalanus magnus
Onchocalanus subcristatus
Onchocalanus trigoniceps
Onchocalanus wolfendeni
Oncopagurus haigae
Onisocryptus sagittus
Orchestoidea tuberculata
Orchomenella chilensis
Ornatoscalpellum gibberum
Orthoconchoecia agassizi
Orthoconchoecia haddoni
Orthoconchoecia striola
Osicryptus hirsutus
Pagurus comptus
Pagurus delsolari
Pagurus forceps
Pallenopsis boehmi
Pallenopsis notiosa
Pallenopsis patagonica
Pallenopsis pilosa
Pallenopsis vanhoeffeni
Pandarus satyrus
Pantopipetta buccina
Pantopipetta longituberculata
Panulirus pascuensis
Parabrachiella anisotremi
Parabrachiella paralichthyos
Paracalanus indicus
Paracalanus parvus
Paraconchoecia aequiseta
Paraconchoecia allotherium
Paraconchoecia echinata
Paraconchoecia oblonga
Paraconchoecia spinifera
Paracorophium chilensis
Paracyphocaris praedator
Paradexamine nana
Paradoxapseudes heroae
Paraeuchaeta aequatorialis
Paraeuchaeta antarctica
Paraeuchaeta barbata
Paraeuchaeta bisinuata
Paraeuchaeta californica
Paraeuchaeta comosa
Paraeuchaeta hansenii
Paraeuchaeta parvula
Paraeuchaeta pavlovskii
Paraeuchaeta pseudotonsa
Paraeuchaeta regalis
Paraeuchaeta sarsi
Paraeuchaeta scotti
Paraeuchaeta tonsa
Paraeuchaeta tumidula
Paraeuchaeta weberi
Paraheterorhabdus vipera
Paralomis chilensis
Paralomis granulosa
Paralomis otsuae
Paralomis spinosissima
Paralomis tuberipes
Paramoera fissicauda
Paramoera gregaria
Paramoera hermitensis
Paramoera pfefferi
Paramoera stephenseni
Parandania boecki
Paranthura porteri
Parasterope longiseta
Parasterope prolixa
Parasterope styx
Paratanais oculatus
Parawaldeckia kidderi
Pardalisca magellanica
Pareucalanus attenuatus
Pareucalanus sewelli
Parione paucisecta
Pariphimedia normani
Pasiphaea acutifrons
Peltarion spinulosum
Petrolisthes tuberculatus
Petrolisthes violaceus
Phaenna spinifera
Philomedes cubitum
Philomedes eugeniae
Philomedes ramus
Philomedes tetrathrix
Phoxocephalopsis gallardoi
Phoxocephalopsis mehuinensis
Phoxocephalopsis zimmeri
Phoxorgia sinuata
Phronima atlantica
Phronima colletti
Phronima pacifica
Phronima sedentaria
Phronima stebbingi
Phronimella elongata
Phyllothyreus cornutus
Platyconchoecia prosadene
Platymera gaudichaudii
Pleuromamma abdominalis
Pleuromamma gracilis
Pleuromamma quadrungulata
Pleuromamma xiphias
Pleuroncodes monodon
Pleurosignum chilense
Polycheria acanthocephala
Polycheria antarctica
Polycheria macrophtalma
Pontellina plumata
Pontellopsis strenua
Pontoeciella abyssicola
Pontoptilus muticus
Porroecia porrecta
Porroecia spinirostris
Primno macropa
Prionomysis stenolepis
Probolisca elliptica
Probolisca ovata
Procampylaspis jonesi
Procampylaspis ledoyeri
Proceroecia procera
Proharpinia antipoda
Proharpinia stephenseni
Projasus bahamondei
Propagurus gaudichaudii
Protellopsis kergueleni
Protorchestia nitida
Pseudfoxiphalus setosus
Pseudhaloptilus eurygnathus
Pseudharpinia dentata
Pseudharpinia obtusifrons
Pseudione chiloensis
Pseudione tuberculata
Pseudiphimediella glabra
Pseudiphimediella nodosa
Pseudoamallothrix emarginata
Pseudoamallothrix hadrosoma
Pseudoamallothrix ovata
Pseudoamallothrix profunda
Pseudochirella hirsuta
Pseudochirella mawsoni
Pseudochirella notacantha
Pseudochirella pustulifera
Pseudoconchoecia serrulata
Pseudocorystes sicarius
Pseudocycnus appendiculatus
Pseudomma calmani
Pseudomma magellanensis
Pseudomma minutum
Pseudomma omoi
Pseudonototanais bransfieldensis
Pterygosquilla armata
Pycnogonum gaini
Quetzogonium dentatum
Rectarcturus kophameli
Rhachotropis schellenbergi
Rhincalanus nasutus
Rhynchocinetes typus
Rhynchothorax australis
Rhynchothorax philopsammum
Robinione brattstroemi
Rocinela australis
Rotundoecia teretivalvata
Ruffia patagonica
Ruffojassa georgiana
Rutiderma ovatum
Santia dimorpha
Santia laevifrons
Sarsamphiascus minutus
Scaphocalanus brevicornis
Scaphocalanus cristatus
Scaphocalanus curtus
Scaphocalanus echinatus
Scaphocalanus elongatus
Scaphocalanus farrani
Scaphocalanus parantarcticus
Scaphocalanus subbrevicornis
Scina tullbergi
Scleraner chacaoi
Scleroconcha frons
Scolecithricella abyssalis
Scolecithricella dentata
Scolecithricella globulosa
Scolecithricella minor
Scolecithrix bradyi
Scolecithrix danae
Scottocalanus helenae
Seba saundersii
Seba subantarctica
Serolis kempi
Serolis paradoxa
Skogsbergiella macrothrix
Skogsbergiella plocus
Socarnoides unidentatus
Sphaeronella doloriae
Sphaeronella homasteropeae
Sphaeronella skogsbergiellae
Sphaeronella synasteropeae
Stegocephalus kergueleni
Stenothoe magellanica
Stephensenia haematopus
Stereomastis evexa
Stereomastis nana
Stereomastis sculpta
Stereomastis suhmi
Stomacontion pepinii
Stylicletodes longicaudatus
Stylicletodes oligochaeta
Stylocheiron abbreviatum
Stylocheiron affine
Stylocheiron carinatum
Stylocheiron elongatum
Stylocheiron longicorne
Stylocheiron maximum
Styloptocuma gracillimum
Subeucalanus crassus
Subeucalanus longiceps
Subeucalanus subtenuis
Sunamphitoe femorata
Sursumura falcata
Sympagurus dimorphus
Synasterope brachythrix
Synasterope dimorpha
Systellaspis eltanini
Taliepus dentatus
Tanystylum neorhetum
Tanystylum oedinotum
Tanystylum styligerum
Temora discaudata
Temora stylifera
Tetrachaelasma southwardi
Themisto gaudichaudii
Thymops birsteini
Thysanoessa gregaria
Thysanoessa macrura
Thysanopoda acutifrons
Thysanopoda astylata
Tonocote introflexidus
Tonocote magellani
Torometopa compacta
Torometopa crenatipalmata
Torometopa parallelocheir
Transorchestia chiliensis
Trichopeltarion hystricosum
Triconia antarctica
Triconia conifera
Triprotella amica
Tryphosella metacaecula
Tryphosites chevreuxi
Tylosapis dentatus
Ultimachelium schellenbergi
Ultimachelium tac
Undeuchaeta incisa
Undeuchaeta intermedia
Undeuchaeta major
Undeuchaeta plumosa
Uristes paramoi
Uristes schellenbergi
Uristes serratus
Uristes subchelatus
Urocopia singularis
Urocorycaeus lautus
Uromunna nana
Uroptychus parvulus
Urothoe falcata
Valdiviella brevicornis
Valdiviella insignis
Valdiviella oligarthra
Vargula hamata
Vemacumella heardi
Vettoria granulosa
Vibilia armata
Victorhensenoides arntzi
Werthella plumifera
Xigonus patagoniensis
Zeuxoides ohlini
Zizzygonium magellanensis
Zygomaera eugeniae
