Paralimnoria andrewsi
Paraliomera dispar
Paralomis serrata
Paranarthrura similis
Paranesidea albatrossa
Parapagurion imbricata
Parapagurus foraminosus
Parapagurus holthuisi
Parapenaeus americanus
Parapenaeus longirostris
Parapinnixa hendersoni
Parapontocaris caribbaea
Parapontocaris vicina
Parasergestes armatus
Parasergestes vigilax
Pareucalanus attenuatus
Parvocalanus crassirostris
Pasiphaea sivado
Penaeopsis serrata
Penaeus aztecus
Penaeus brasiliensis
Penaeus brevirostris
Penaeus californiensis
Penaeus duorarum
Penaeus monodon
Penaeus notialis
Penaeus occidentalis
Penaeus schmitti
Penaeus subtilis
Periclimenes iridescens
Periclimenes rathbunae
Periclimenes yucatanicus
Persephona lichtensteinii
Petramithrax pygmaeus
Petrochirus diogenes
Petrolisthes armatus
Petrolisthes artifrons
Petrolisthes caribensis
Petrolisthes galathinus
Petrolisthes lewisi
Petrolisthes magdalenensis
Petrolisthes politus
Philocheras gorei
Phimochirus holthuisi
Phimochirus operculatus
Phorcosergia filicta
Phorcosergia phorca
Phronima atlantica
Phronima colletti
Phronimella elongata
Pilumnus caribaeus
Pilumnus dasypodus
Pilumnus floridanus
Pilumnus pygmaeus
Pilumnus sayi
Pinnixa chaetopterana
Pisidia brasiliensis
Pitho laevigata
Pitho lherminieri
Platyactaea setigera
Platylambrus granulatus
Platylambrus serratus
Platypodiella spectabilis
Pleoticus robustus
Plesionika longicauda
Plesionika mexicana
Plesionika trispinus
Pleurocryptella wolffi
Pleuromamma abdominalis
Pleuromamma gracilis
Podochela curvirostris
Podochela macrodera
Polycheles typhlops
Pontellina plumata
Pontellopsis villosa
Porcellana lillyae
Porcellana sayana
Portunus anceps
Portunus gibbesii
Portunus sayi
Prionoplax atlantica
Procampylaspis armata
Proceroecia convexa
Processa hemphilli
Protoniopagurus bioperculatus
Psalidopus barbouri
Pseudamphithoides bacescui
Pseudevadne tergestina
Pseudocoutierea antillensis
Pseudocoutierea edentata
Pseudodiaptomus galapagensis
Pseudodiaptomus longispinosus
Pseudodiaptomus wrighti
Pseudorhombila octodentata
Pseudorhombila ometlanti
Pseudorhombila quadridentata
Pseudosquilla ciliata
Pseudosquillisma adiastalta
Pseudosquillisma oculata
Pylopaguropsis atlantica
Pylopagurus discoidalis
Pylopagurus pattiae
Pyromaia acanthina
Pyromaia propinqua
Quadrimaera pacifica
Ranilia muricata
Raninoides lamarcki
Raninoides louisianensis
Rectisura serrata
Rhincalanus cornutus
Rhodochirus rosaceus
Rimapenaeus byrdi
Rimapenaeus constrictus
Rimapenaeus faoe
Rimapenaeus pacificus
Rimapenaeus similis
Robustosergia regalis
Rochinia crassa
Rocinela signata
Sapphirina angusta
Sapphirina auronitens
Sapphirina nigromaculata
Sapphirina scarlata
Sapphirina stellata
Scolecithrix danae
Scopolius nuttingi
Scottocalanus corystes
Scyllarus americanus
Scyllarus chacei
Scyllarus depressus
Scyllarus planorbis
Seba robusta
Sergestes atlanticus
Sergia remipes
Shoemakerella cubensis
Sicyonia burkenroadi
Sicyonia disdorsalis
Sicyonia dorsalis
Sicyonia laevigata
Sicyonia parri
Sicyonia picta
Sicyonia stimpsoni
Sicyonia typica
Skuphonura ecuadorensis
Skuphonura kensleyi
Solenocera acuminata
Solenocera agassizii
Solenocera atlantidis
Solenocera necopina
Solenocera vioscai
Solenolambrus tenellus
Solenolambrus typicus
Spathapagurus longimanus
Speocarcinus carolinensis
Speocarcinus lobatus
Speocarcinus monotuberculatus
Spinosantia muelleri
Squilla caribaea
Squilla chydaea
Squilla deceptrix
Squilla discors
Squilla empusa
Squilla hancocki
Squilla intermedia
Squilla lijdingi
Squilla obtusa
Squilla rugosa
Stenocionops furcatus
Stenopus hispidus
Stenopus scutellatus
Stenorhynchus seticornis
Stenorhynchus yangi
Stenothoe valida
Stereomastis nana
Storthyngura snanoi
Stylocheiron carinatum
Stylopandalus richardi
Subeucalanus monachus
Subeucalanus pileatus
Subeucalanus subcrassus
Subeucalanus subtenuis
Sympagurus pictus
Synalpheus goodei
Synalpheus herricki
Synalpheus longicarpus
Synalpheus minus
Synalpheus pandionis
Synalpheus paraneptunus
Synalpheus sanctithomae
Synalpheus townsendi
Synarmadillo tristani
Systellaspis cristata
Systellaspis debilis
